X,Y,Z,Speed,E,Mode,NozzleTemp

210,270,-90,40,0,0,30
210,270,-90,2,10,0,30
135,170.5,-99.2,30,10,0,30
135,170.5,-90,20,10,0,30
100,115,-90,20,10,0,30
100,115,-98.8,20,10,0,30
100,115,-98.8,20,10,0,30
100,145,-98.8,20,10.6,0,30
104,145,-98.8,20,10.6,0,30
104,115,-98.8,20,11.2,0,30
108,115,-98.8,20,11.2,0,30
108,145,-98.8,20,11.8,0,30
112,145,-98.8,20,11.8,0,30
112,115,-98.8,20,12.4,0,30
116,115,-98.8,20,12.4,0,30
116,145,-98.8,20,13,0,30
120,145,-98.8,20,13,0,30
120,115,-98.8,20,13.6,0,30
124,115,-98.8,20,13.6,0,30
124,145,-98.8,20,14.2,0,30
128,145,-98.8,20,14.2,0,30
128,115,-98.8,20,14.8,0,30
128,115,-90,20,14.8,0,30
128,115,-90,20,14.8,0,30
100,155,-90,20,14.8,0,30
100,155,-98.8,20,14.8,0,30
100,155,-98.8,20,14.8,0,30
100,185,-98.8,20,15.4,0,30
104,185,-98.8,20,15.4,0,30
104,155,-98.8,20,16,0,30
108,155,-98.8,20,16,0,30
108,185,-98.8,20,16.6,0,30
112,185,-98.8,20,16.6,0,30
112,155,-98.8,20,17.2,0,30
116,155,-98.8,20,17.2,0,30
116,185,-98.8,20,17.8,0,30
120,185,-98.8,20,17.8,0,30
120,155,-98.8,20,18.4,0,30
124,155,-98.8,20,18.4,0,30
124,185,-98.8,20,19,0,30
128,185,-98.8,20,19,0,30
128,155,-98.8,20,19.6,0,30
128,155,-90,20,19.6,0,30
128,155,-90,20,19.6,0,30
100,195,-90,20,19.6,0,30
100,195,-98.8,20,19.6,0,30
100,195,-98.8,20,19.6,0,30
100,225,-98.8,20,20.2,0,30
104,225,-98.8,20,20.2,0,30
104,195,-98.8,20,20.8,0,30
108,195,-98.8,20,20.8,0,30
108,225,-98.8,20,21.4,0,30
112,225,-98.8,20,21.4,0,30
112,195,-98.8,20,22,0,30
116,195,-98.8,20,22,0,30
116,225,-98.8,20,22.6,0,30
120,225,-98.8,20,22.6,0,30
120,195,-98.8,20,23.2,0,30
124,195,-98.8,20,23.2,0,30
124,225,-98.8,20,23.8,0,30
128,225,-98.8,20,23.8,0,30
128,195,-98.8,20,24.4,0,30
128,195,-90,20,24.4,0,30
128,195,-90,20,24.4,0,30
100,115,-90,20,24.4,0,30
100,115,-97.8,20,24.4,0,30
100,115,-97.8,20,24.4,0,30
130,115,-97.8,20,25,0,30
130,119,-97.8,20,25,0,30
100,119,-97.8,20,25.6,0,30
100,123,-97.8,20,25.6,0,30
130,123,-97.8,20,26.2,0,30
130,127,-97.8,20,26.2,0,30
100,127,-97.8,20,26.8,0,30
100,131,-97.8,20,26.8,0,30
130,131,-97.8,20,27.4,0,30
130,135,-97.8,20,27.4,0,30
100,135,-97.8,20,28,0,30
100,139,-97.8,20,28,0,30
130,139,-97.8,20,28.6,0,30
130,143,-97.8,20,28.6,0,30
100,143,-97.8,20,29.2,0,30
100,143,-90,20,29.2,0,30
100,143,-90,20,29.2,0,30
100,155,-90,20,29.2,0,30
100,155,-97.3,20,29.2,0,30
100,155,-97.3,20,29.2,0,30
130,155,-97.3,20,29.8,0,30
130,159,-97.3,20,29.8,0,30
100,159,-97.3,20,30.4,0,30
100,163,-97.3,20,30.4,0,30
130,163,-97.3,20,31,0,30
130,167,-97.3,20,31,0,30
100,167,-97.3,20,31.6,0,30
100,171,-97.3,20,31.6,0,30
130,171,-97.3,20,32.2,0,30
130,175,-97.3,20,32.2,0,30
100,175,-97.3,20,32.8,0,30
100,179,-97.3,20,32.8,0,30
130,179,-97.3,20,33.4,0,30
130,183,-97.3,20,33.4,0,30
100,183,-97.3,20,34,0,30
100,183,-90,20,34,0,30
100,183,-90,20,34,0,30
100,195,-90,20,34,0,30
100,195,-96.8,20,34,0,30
100,195,-96.8,20,34,0,30
130,195,-96.8,20,34.6,0,30
130,199,-96.8,20,34.6,0,30
100,199,-96.8,20,35.2,0,30
100,203,-96.8,20,35.2,0,30
130,203,-96.8,20,35.8,0,30
130,207,-96.8,20,35.8,0,30
100,207,-96.8,20,36.4,0,30
100,211,-96.8,20,36.4,0,30
130,211,-96.8,20,37,0,30
130,215,-96.8,20,37,0,30
100,215,-96.8,20,37.6,0,30
100,219,-96.8,20,37.6,0,30
130,219,-96.8,20,38.2,0,30
130,223,-96.8,20,38.2,0,30
100,223,-96.8,20,38.8,0,30
100,223,-90,20,38.8,0,30
100,223,-90,20,38.8,0,30
100,115,-90,20,38.8,0,30
100,115,-96.8,20,38.8,0,30
100,115,-96.8,20,38.8,0,30
100,145,-96.8,20,39.4,0,30
104,145,-96.8,20,39.4,0,30
104,115,-96.8,20,40,0,30
108,115,-96.8,20,40,0,30
108,145,-96.8,20,40.6000000000001,0,30
112,145,-96.8,20,40.6000000000001,0,30
112,115,-96.8,20,41.2000000000001,0,30
116,115,-96.8,20,41.2000000000001,0,30
116,145,-96.8,20,41.8000000000001,0,30
120,145,-96.8,20,41.8000000000001,0,30
120,115,-96.8,20,42.4000000000001,0,30
124,115,-96.8,20,42.4000000000001,0,30
124,145,-96.8,20,43.0000000000001,0,30
128,145,-96.8,20,43.0000000000001,0,30
128,115,-96.8,20,43.6000000000001,0,30
128,115,-90,20,43.6000000000001,0,30
128,115,-90,20,43.6000000000001,0,30
100,155,-90,20,43.6000000000001,0,30
100,155,-95.8,20,43.6000000000001,0,30
100,155,-95.8,20,43.6000000000001,0,30
100,185,-95.8,20,44.2000000000001,0,30
104,185,-95.8,20,44.2000000000001,0,30
104,155,-95.8,20,44.8000000000001,0,30
108,155,-95.8,20,44.8000000000001,0,30
108,185,-95.8,20,45.4000000000001,0,30
112,185,-95.8,20,45.4000000000001,0,30
112,155,-95.8,20,46.0000000000001,0,30
116,155,-95.8,20,46.0000000000001,0,30
116,185,-95.8,20,46.6000000000001,0,30
120,185,-95.8,20,46.6000000000001,0,30
120,155,-95.8,20,47.2000000000001,0,30
124,155,-95.8,20,47.2000000000001,0,30
124,185,-95.8,20,47.8000000000001,0,30
128,185,-95.8,20,47.8000000000001,0,30
128,155,-95.8,20,48.4000000000001,0,30
128,155,-90,20,48.4000000000001,0,30
128,155,-90,20,48.4000000000001,0,30
100,195,-90,20,48.4000000000001,0,30
100,195,-94.8,20,48.4000000000001,0,30
100,195,-94.8,20,48.4000000000001,0,30
100,225,-94.8,20,49.0000000000001,0,30
104,225,-94.8,20,49.0000000000001,0,30
104,195,-94.8,20,49.6000000000001,0,30
108,195,-94.8,20,49.6000000000001,0,30
108,225,-94.8,20,50.2000000000001,0,30
112,225,-94.8,20,50.2000000000001,0,30
112,195,-94.8,20,50.8000000000001,0,30
116,195,-94.8,20,50.8000000000001,0,30
116,225,-94.8,20,51.4000000000001,0,30
120,225,-94.8,20,51.4000000000001,0,30
120,195,-94.8,20,52.0000000000001,0,30
124,195,-94.8,20,52.0000000000001,0,30
124,225,-94.8,20,52.6000000000001,0,30
128,225,-94.8,20,52.6000000000001,0,30
128,195,-94.8,20,53.2000000000001,0,30
128,195,-90,20,53.2000000000001,0,30
128,195,-90,20,53.2000000000001,0,30
100,115,-90,20,53.2000000000001,0,30
100,115,-95.8,20,53.2000000000001,0,30
100,115,-95.8,20,53.2000000000001,0,30
130,115,-95.8,20,53.8000000000001,0,30
130,119,-95.8,20,53.8000000000001,0,30
100,119,-95.8,20,54.4000000000001,0,30
100,123,-95.8,20,54.4000000000001,0,30
130,123,-95.8,20,55.0000000000001,0,30
130,127,-95.8,20,55.0000000000001,0,30
100,127,-95.8,20,55.6000000000001,0,30
100,131,-95.8,20,55.6000000000001,0,30
130,131,-95.8,20,56.2000000000001,0,30
130,135,-95.8,20,56.2000000000001,0,30
100,135,-95.8,20,56.8000000000001,0,30
100,139,-95.8,20,56.8000000000001,0,30
130,139,-95.8,20,57.4000000000001,0,30
130,143,-95.8,20,57.4000000000001,0,30
100,143,-95.8,20,58.0000000000001,0,30
100,143,-90,20,58.0000000000001,0,30
100,143,-90,20,58.0000000000001,0,30
100,155,-90,20,58.0000000000001,0,30
100,155,-94.3,20,58.0000000000001,0,30
100,155,-94.3,20,58.0000000000001,0,30
130,155,-94.3,20,58.6000000000001,0,30
130,159,-94.3,20,58.6000000000001,0,30
100,159,-94.3,20,59.2000000000001,0,30
100,163,-94.3,20,59.2000000000001,0,30
130,163,-94.3,20,59.8000000000001,0,30
130,167,-94.3,20,59.8000000000001,0,30
100,167,-94.3,20,60.4000000000001,0,30
100,171,-94.3,20,60.4000000000001,0,30
130,171,-94.3,20,61.0000000000001,0,30
130,175,-94.3,20,61.0000000000001,0,30
100,175,-94.3,20,61.6000000000001,0,30
100,179,-94.3,20,61.6000000000001,0,30
130,179,-94.3,20,62.2000000000001,0,30
130,183,-94.3,20,62.2000000000001,0,30
100,183,-94.3,20,62.8000000000001,0,30
100,183,-90,20,62.8000000000001,0,30
