X,Y,Z,Speed,E,Mode,NozzleTemp
210.000,270.000,-90.000,40.000,0.00000,0,45.0
210.000,270.000,-90.000,2.000,10.00000,0,45.0
135.000,170.500,-98.800,20.000,10.00000,0,45.0
0.000,0.000,3.800,20.000,0.00000,1,50.0
0.000,-5.000,0.000,20.000,0.00000,1,50.0
0.000,0.000,-3.800,20.000,0.00000,1,50.0
0.174,0.003,0.000,20.000,0.00349,1,50.0
0.174,0.009,0.000,20.000,0.00349,1,50.0
0.174,0.015,0.000,20.000,0.00349,1,50.0
0.173,0.021,0.000,20.000,0.00349,1,50.0
0.172,0.027,0.000,20.000,0.00349,1,50.0
0.171,0.033,0.000,20.000,0.00349,1,50.0
0.170,0.039,0.000,20.000,0.00349,1,50.0
0.169,0.045,0.000,20.000,0.00349,1,50.0
0.167,0.051,0.000,20.000,0.00349,1,50.0
0.165,0.057,0.000,20.000,0.00349,1,50.0
0.163,0.063,0.000,20.000,0.00349,1,50.0
0.161,0.068,0.000,20.000,0.00349,1,50.0
0.158,0.074,0.000,20.000,0.00349,1,50.0
0.156,0.079,0.000,20.000,0.00349,1,50.0
0.153,0.085,0.000,20.000,0.00349,1,50.0
0.150,0.090,0.000,20.000,0.00349,1,50.0
0.146,0.095,0.000,20.000,0.00349,1,50.0
0.143,0.100,0.000,20.000,0.00349,1,50.0
0.139,0.105,0.000,20.000,0.00349,1,50.0
0.136,0.110,0.000,20.000,0.00349,1,50.0
0.132,0.114,0.000,20.000,0.00349,1,50.0
0.128,0.119,0.000,20.000,0.00349,1,50.0
0.123,0.123,0.000,20.000,0.00349,1,50.0
0.119,0.128,0.000,20.000,0.00349,1,50.0
0.114,0.132,0.000,20.000,0.00349,1,50.0
0.110,0.136,0.000,20.000,0.00349,1,50.0
0.105,0.139,0.000,20.000,0.00349,1,50.0
0.100,0.143,0.000,20.000,0.00349,1,50.0
0.095,0.146,0.000,20.000,0.00349,1,50.0
0.090,0.150,0.000,20.000,0.00349,1,50.0
0.085,0.153,0.000,20.000,0.00349,1,50.0
0.079,0.156,0.000,20.000,0.00349,1,50.0
0.074,0.158,0.000,20.000,0.00349,1,50.0
0.068,0.161,0.000,20.000,0.00349,1,50.0
0.063,0.163,0.000,20.000,0.00349,1,50.0
0.057,0.165,0.000,20.000,0.00349,1,50.0
0.051,0.167,0.000,20.000,0.00349,1,50.0
0.045,0.169,0.000,20.000,0.00349,1,50.0
0.039,0.170,0.000,20.000,0.00349,1,50.0
0.033,0.171,0.000,20.000,0.00349,1,50.0
0.027,0.172,0.000,20.000,0.00349,1,50.0
0.021,0.173,0.000,20.000,0.00349,1,50.0
0.015,0.174,0.000,20.000,0.00349,1,50.0
0.009,0.174,0.000,20.000,0.00349,1,50.0
0.003,0.174,0.000,20.000,0.00349,1,50.0
-0.003,0.174,0.000,20.000,0.00349,1,50.0
-0.009,0.174,0.000,20.000,0.00349,1,50.0
-0.015,0.174,0.000,20.000,0.00349,1,50.0
-0.021,0.173,0.000,20.000,0.00349,1,50.0
-0.027,0.172,0.000,20.000,0.00349,1,50.0
-0.033,0.171,0.000,20.000,0.00349,1,50.0
-0.039,0.170,0.000,20.000,0.00349,1,50.0
-0.045,0.169,0.000,20.000,0.00349,1,50.0
-0.051,0.167,0.000,20.000,0.00349,1,50.0
-0.057,0.165,0.000,20.000,0.00349,1,50.0
-0.063,0.163,0.000,20.000,0.00349,1,50.0
-0.068,0.161,0.000,20.000,0.00349,1,50.0
-0.074,0.158,0.000,20.000,0.00349,1,50.0
-0.079,0.156,0.000,20.000,0.00349,1,50.0
-0.085,0.153,0.000,20.000,0.00349,1,50.0
-0.090,0.150,0.000,20.000,0.00349,1,50.0
-0.095,0.146,0.000,20.000,0.00349,1,50.0
-0.100,0.143,0.000,20.000,0.00349,1,50.0
-0.105,0.139,0.000,20.000,0.00349,1,50.0
-0.110,0.136,0.000,20.000,0.00349,1,50.0
-0.114,0.132,0.000,20.000,0.00349,1,50.0
-0.119,0.128,0.000,20.000,0.00349,1,50.0
-0.123,0.123,0.000,20.000,0.00349,1,50.0
-0.128,0.119,0.000,20.000,0.00349,1,50.0
-0.132,0.114,0.000,20.000,0.00349,1,50.0
-0.136,0.110,0.000,20.000,0.00349,1,50.0
-0.139,0.105,0.000,20.000,0.00349,1,50.0
-0.143,0.100,0.000,20.000,0.00349,1,50.0
-0.146,0.095,0.000,20.000,0.00349,1,50.0
-0.150,0.090,0.000,20.000,0.00349,1,50.0
-0.153,0.085,0.000,20.000,0.00349,1,50.0
-0.156,0.079,0.000,20.000,0.00349,1,50.0
-0.158,0.074,0.000,20.000,0.00349,1,50.0
-0.161,0.068,0.000,20.000,0.00349,1,50.0
-0.163,0.063,0.000,20.000,0.00349,1,50.0
-0.165,0.057,0.000,20.000,0.00349,1,50.0
-0.167,0.051,0.000,20.000,0.00349,1,50.0
-0.169,0.045,0.000,20.000,0.00349,1,50.0
-0.170,0.039,0.000,20.000,0.00349,1,50.0
-0.171,0.033,0.000,20.000,0.00349,1,50.0
-0.172,0.027,0.000,20.000,0.00349,1,50.0
-0.173,0.021,0.000,20.000,0.00349,1,50.0
-0.174,0.015,0.000,20.000,0.00349,1,50.0
-0.174,0.009,0.000,20.000,0.00349,1,50.0
-0.174,0.003,0.000,20.000,0.00349,1,50.0
-0.174,-0.003,0.000,20.000,0.00349,1,50.0
-0.174,-0.009,0.000,20.000,0.00349,1,50.0
-0.174,-0.015,0.000,20.000,0.00349,1,50.0
-0.173,-0.021,0.000,20.000,0.00349,1,50.0
-0.172,-0.027,0.000,20.000,0.00349,1,50.0
-0.171,-0.033,0.000,20.000,0.00349,1,50.0
-0.170,-0.039,0.000,20.000,0.00349,1,50.0
-0.169,-0.045,0.000,20.000,0.00349,1,50.0
-0.167,-0.051,0.000,20.000,0.00349,1,50.0
-0.165,-0.057,0.000,20.000,0.00349,1,50.0
-0.163,-0.063,0.000,20.000,0.00349,1,50.0
-0.161,-0.068,0.000,20.000,0.00349,1,50.0
-0.158,-0.074,0.000,20.000,0.00349,1,50.0
-0.156,-0.079,0.000,20.000,0.00349,1,50.0
-0.153,-0.085,0.000,20.000,0.00349,1,50.0
-0.150,-0.090,0.000,20.000,0.00349,1,50.0
-0.146,-0.095,0.000,20.000,0.00349,1,50.0
-0.143,-0.100,0.000,20.000,0.00349,1,50.0
-0.139,-0.105,0.000,20.000,0.00349,1,50.0
-0.136,-0.110,0.000,20.000,0.00349,1,50.0
-0.132,-0.114,0.000,20.000,0.00349,1,50.0
-0.128,-0.119,0.000,20.000,0.00349,1,50.0
-0.123,-0.123,0.000,20.000,0.00349,1,50.0
-0.119,-0.128,0.000,20.000,0.00349,1,50.0
-0.114,-0.132,0.000,20.000,0.00349,1,50.0
-0.110,-0.136,0.000,20.000,0.00349,1,50.0
-0.105,-0.139,0.000,20.000,0.00349,1,50.0
-0.100,-0.143,0.000,20.000,0.00349,1,50.0
-0.095,-0.146,0.000,20.000,0.00349,1,50.0
-0.090,-0.150,0.000,20.000,0.00349,1,50.0
-0.085,-0.153,0.000,20.000,0.00349,1,50.0
-0.079,-0.156,0.000,20.000,0.00349,1,50.0
-0.074,-0.158,0.000,20.000,0.00349,1,50.0
-0.068,-0.161,0.000,20.000,0.00349,1,50.0
-0.063,-0.163,0.000,20.000,0.00349,1,50.0
-0.057,-0.165,0.000,20.000,0.00349,1,50.0
-0.051,-0.167,0.000,20.000,0.00349,1,50.0
-0.045,-0.169,0.000,20.000,0.00349,1,50.0
-0.039,-0.170,0.000,20.000,0.00349,1,50.0
-0.033,-0.171,0.000,20.000,0.00349,1,50.0
-0.027,-0.172,0.000,20.000,0.00349,1,50.0
-0.021,-0.173,0.000,20.000,0.00349,1,50.0
-0.015,-0.174,0.000,20.000,0.00349,1,50.0
-0.009,-0.174,0.000,20.000,0.00349,1,50.0
-0.003,-0.174,0.000,20.000,0.00349,1,50.0
0.003,-0.174,0.000,20.000,0.00349,1,50.0
0.009,-0.174,0.000,20.000,0.00349,1,50.0
0.015,-0.174,0.000,20.000,0.00349,1,50.0
0.021,-0.173,0.000,20.000,0.00349,1,50.0
0.027,-0.172,0.000,20.000,0.00349,1,50.0
0.033,-0.171,0.000,20.000,0.00349,1,50.0
0.039,-0.170,0.000,20.000,0.00349,1,50.0
